M.H_b.Hplus Time [a],M.H_b.Hplus Hplus [mol/kg]
0.0,5.940576316124429e-09
10000.0,5.940576316124544e-09
20000.0,5.940576316124442e-09
30000.0,5.940576316124414e-09
40000.0,5.940576316124426e-09
50000.0,5.940576316124426e-09
60000.0,5.940576316124426e-09
70000.0,5.940576316124428e-09
80000.0,5.9405763161244275e-09
90000.0,5.940576316124427e-09
100000.0,5.9405763161244275e-09
110000.0,5.940576316124428e-09
120000.0,5.9405763161244275e-09
130000.0,5.9405763161244275e-09
140000.0,5.940576316124428e-09
150000.0,5.940576316124426e-09
160000.0,5.940576316124424e-09
170000.0,5.9405763161244275e-09
180000.0,5.940576316124426e-09
190000.0,5.940576316124424e-09
200000.0,5.940576316124427e-09
210000.0,5.940576316124427e-09
220000.0,5.940576316124427e-09
230000.0,5.940576316124427e-09
240000.0,5.940576316124427e-09
250000.0,5.940576316124427e-09
260000.0,5.940576316124425e-09
270000.0,5.940576316124425e-09
280000.0,5.9405763161244275e-09
290000.0,5.940576316124425e-09
300000.0,5.940576316124427e-09
310000.0,5.940576316124427e-09
320000.0,5.940576316124427e-09
330000.0,5.940576316124427e-09
340000.0,5.9405763161244275e-09
350000.0,5.940576316124425e-09
360000.0,5.940576316124426e-09
370000.0,5.9405763161244275e-09
380000.0,5.940576316124426e-09
390000.0,5.940576316124427e-09
400000.0,5.940576316124426e-09
410000.0,5.9405763161244275e-09
420000.0,5.940576316124426e-09
430000.0,5.940576316124428e-09
440000.0,5.9405763161244275e-09
450000.0,5.940576316124427e-09
460000.0,5.9405763161244275e-09
470000.0,5.940576316124428e-09
480000.0,5.940576316124425e-09
490000.0,5.9405763161244275e-09
500000.0,5.9405763161244234e-09
510000.0,5.940576316124425e-09
520000.0,5.9405763161244275e-09
530000.0,5.940576316124424e-09
540000.0,5.940576316124427e-09
550000.0,5.940576316124425e-09
560000.0,5.940576316124424e-09
570000.0,5.940576316124424e-09
580000.0,5.940576316124426e-09
590000.0,5.9405763161244275e-09
600000.0,5.940576316124427e-09
610000.0,5.940576316124425e-09
620000.0,5.9405763161244275e-09
630000.0,5.940576316124424e-09
640000.0,5.940576316124425e-09
650000.0,5.940576316124427e-09
660000.0,5.9405763161244275e-09
670000.0,5.9405763161244275e-09
680000.0,5.940576316124425e-09
690000.0,5.940576316124427e-09
700000.0,5.940576316124425e-09
710000.0,5.940576316124425e-09
720000.0,5.940576316124425e-09
730000.0,5.940576316124427e-09
740000.0,5.940576316124427e-09
750000.0,5.940576316124427e-09
760000.0,5.9405763161244275e-09
770000.0,5.9405763161244275e-09
780000.0,5.940576316124424e-09
790000.0,5.940576316124424e-09
800000.0,5.940576316124424e-09
810000.0,5.940576316124426e-09
820000.0,5.940576316124427e-09
830000.0,5.940576316124427e-09
840000.0,5.9405763161244275e-09
850000.0,5.9405763161244275e-09
860000.0,5.9405763161244275e-09
870000.0,5.9405763161244275e-09
880000.0,5.940576316124425e-09
890000.0,5.940576316124428e-09
900000.0,5.9405763161244275e-09
910000.0,5.940576316124427e-09
920000.0,5.940576316124425e-09
930000.0,5.940576316124424e-09
940000.0,5.940576316124425e-09
950000.0,5.940576316124427e-09
960000.0,5.9405763161244275e-09
970000.0,5.940576316124426e-09
980000.0,5.9405763161244275e-09
990000.0,5.940576316124428e-09
